PropertyID,Address,City,State,ZipCode,Type,Price,SquareFeet,Bedrooms,Bathrooms,AgentID
P000113,7782 Reed Plains St,NASHVILLE,TN,90807,Commercial,255053,,,10,A00088
P000114,6158 York Loop Ln,Las Vegas,NV,90010,Commercial,1182649,10263,,,A00129
P000115,4389 George Plains Pl,indianapolis,IN,98102,Residential,1496011,3373,1,3,A00084
P000116,1057 AMY SPRING AVE,New York,NY,97209,Residential,417469,2744,6,4,A00139
P000117,8497 Richmond Unions Ave,Detroit,MI,78202,Commercial,1827269,16391,,10,A00146
P000118,9852 Alexander Walk Way,Louisville,KY,80904,Commercial,679668,18226,,8,A00091
P000119,7585 Glenn Passage Rd,JACKSONVILLE,FL,53203,Residential,991713,,2,5,A00057
P000120,8738 Smith Fields Dr,Jacksonville,FL,87101,Commercial,1702117,40839,,2,A00082
P000121,9413 Waller Fords Ave,Fresno,CA,75207,Commercial,1892429,1960,,2,A00036
P000122,8617 Martha Brooks Ave,Philadelphia,PA,78702,Commercial,1305906,37896,,10,A00073
P000123,3765 JASON TRAIL ST,Louisville,KY,33125,Commercial,1459114,,,7,A00129
P000124,2538 raymond mountain ct,Baltimore,MD,76110,Residential,1772831,3153,3,1,A00128
P000125,6404 Jared Brooks Ave,Chicago,IL,68104,Residential,477814,,6,3,A00152
P000126,4116 Stevens Divide Way,Los Angeles,CA,76108,Commercial,1898463,18549,,3,A00086
P000127,5556 Willie Street St,Boston,MA,30309,Commercial,1354793,35736,,8,A00152
P000128,4107 Allen Club Ter,Mesa,AZ,19111,Commercial,778369,38900,,8,A00005
P000129,7905 Randall Rapids Rd,Baltimore,MD,93650,Residential,301106,2025,6,4,A00030
P000130,3279 Ellis Gardens Rd,Virginia Beach,VA,90011,Commercial,1599024,37063,,9,A00032
P000131,2539 Khan Mountains Ln,Baltimore,MD,28204,Commercial,374219,33189,,7,A00033
P000132,6682 SANCHEZ FLAT WAY,New York,NY,98110,Residential,1910973,1570,1,4,A00037
P000133,2418 Ryan Mountain Dr,chicago,IL,27608,Residential,1322836,5096,2,2,A00051
P000134,9504 Matthew Trace Ln,Baltimore,MD,98105,Commercial,1666175,20204,,4,A00152
P000135,5957 Hernandez Mission St,Milwaukee,WI,89109,Commercial,1827257,42935,,3,A00111
P000136,6694 Michelle Hills Ter,Raleigh,NC,19107,Commercial,1907755,22753,,9,A00147
P000137,1494 Joseph Station Blvd,Houston,TX,38107,Residential,552674,,5,5,A00024
P000138,7640 Elizabeth Center Rd,Baltimore,MD,60608,Commercial,729167,28898,,,A00076
P000139,395 Robbins Turnpike Ave,Jacksonville,FL,93711,Residential,792812,5790,1,1,A00044
P000140,8535 Faulkner Divide Dr,Fresno,CA,21211,Commercial,1445431,11128,,7,A00046
P000141,585 Turner Inlet Ln,nashville,TN,85705,Residential,1446950,5797,6,5,A00102
P000142,6576 Jason Wall Way,Chicago,IL,90002,Residential,979240,2973,1,5,A00082
P000143,3974 Collins Pass Ct,Chicago,IL,90006,Commercial,1944831,7659,,7,A00128
P000144,315 Christina Lock Ter,Detroit,MI,40205,Residential,1436296,4094,3,4,A00046
P000145,2743 Cynthia Courts Way,San Francisco,CA,97210,Commercial,878081,19601,,7,A00060
P000146,3291 Gill Plaza Ter,virginia beach,VA,89110,Commercial,201038,17498,,7,A00132
P000147,6991 Adams Rue Ln,Baltimore,MD,75204,Residential,1108829,4741,5,4,A00083
P000148,7192 Kimberly Ridges Ct,Omaha,NE,78207,Commercial,1397273,15721,,10,A00005
P000149,5977 Erica Estate Pl,Virginia Beach,VA,87104,Commercial,1586046,18435,,2,A00019
P000150,9595 Lozano Crescent St,Chicago,IL,92103,Residential,1410777,4717,6,5,A00010
P000151,8407 Alicia Dale Way,Milwaukee,WI,85013,Commercial,1618204,40177,,1,A00044
P000152,1639 Walker Roads Ave,Los Angeles,CA,33101,Residential,781103,3122,5,1,A00128
P000153,469 Veronica Mall St,louisville,KY,90802,Commercial,433269,15580,,1,A00047
P000154,4154 Jacqueline Neck Ter,Albuquerque,NM,78204,Commercial,250260,31576,,4,A00100
P000155,4783 Brown Wells Pl,Seattle,WA,33126,Commercial,1654345,19698,,6,A00031
P000156,7152 Hayden Keys Pl,Mesa,AZ,60602,Residential,1853809,765,5,4,A00074
P000157,9031 Amanda Passage Ave,Chicago,IL,23455,Commercial,525594,12726,,10,A00039
P000158,232 Rice Roads Ter,san francisco,CA,78722,Commercial,416111,21245,,8,A00010
P000159,6332 ANNETTE PARKWAYS TER,Columbus,OH,38101,Commercial,1558988,32856,,,A00066
P000160,5747 Preston Dale Way, New York ,NY,2101,Residential,378752,5238,5,4,A00152
P000161,3129 wilson bridge pl,las vegas,NV,28207,Residential,632099,1778,5,5,A00083
P000162,3494 Smith Mountain Dr,san antonio,TX,92103,Residential,923499,932,6,5,A00033
P000163,6949 Wendy Passage Ave,Kansas City,MO,28209,Residential,1241348,1308,6,3,A00016
P000164,4482 Wagner Loop Pl,Miami,FL,77001,Residential,295619,5061,3,1,A00007
P000165,6730 Myers Orchard Ln,Jacksonville,FL,87109,Commercial,229201,17454,,,A00090
P000166,5887 ANN EXTENSIONS WAY,Virginia Beach,VA,32207,Commercial,991937,47992,,3,A00047
P000167,8615 Mccarty Rapids St,Raleigh,NC,94104,Commercial,1204331,6581,,6,A00015
P000168,9915 DANIELLE DRIVES RD,Memphis,TN,23454,Residential,117901,3259,2,1,A00108
P000169,7744 Anne Roads Ter,Milwaukee,WI,38111,Residential,213227,1697,6,1,A00112
P000170,8121 Bird Inlet Blvd,Columbus,OH,10010,Residential,1270367,5388,3,4,A00047
P000171,578 Matthew Unions Blvd,Columbus,OH,85007,Residential,1865698,1196,1,3,A00063
P000172,1448 Smith Pine St,Phoenix,AZ,92104,Commercial,1233158,7049,,3,A00094
P000173,2391 Benjamin Points Rd,Dallas,TX,64108,Residential,833374,2225,1,2,A00009
P000174,879 stevens lodge blvd,Seattle,WA,85205,Commercial,644549,19698,,8,A00126
P000175,9666 Young Shores Pl,Nashville,TN,90802,Commercial,1283733,,,8,A00014
P000176,259 Banks Lake Rd,INDIANAPOLIS,IN,53209,Residential,408356,3179,6,,A00010
P000177,5106 Brady Divide St,San Antonio,TX,85013,Commercial,912658,15777,,7,A00077
P000178,4212 Seth Ridge Way,San Diego,CA,94105,Residential,1637736,4519,5,4,A00019
P000179,109 Alexander Heights Pl,Omaha,NE,64109,Commercial,831982,1182,,7,A00006
P000180,1471 Villarreal Trace Rd,Nashville,TN,95814,Commercial,1416892,13974,,3,A00135
P000181,2495 Howard Flats Rd,Albuquerque,NM,94101,Commercial,1572995,40553,,10,A00027
P000182,5196 Ramirez Circle Blvd,Seattle,WA,76102,Commercial,395745,,,10,A00019
P000183,6798 JAMES GROVE RD,Denver,CO,75210,Residential,544756,,5,3,A00048
P000184,7522 Herrera Extension Pl,Charlotte,NC,30304,Residential,1011023,695,2,5,A00149
P000185,1720 Jimenez Path Ln,Seattle,WA,80203,Residential,972241,4666,2,5,A00056
P000186,1889 Simpson Valleys Ct,Omaha,NE,46204,Commercial,1628273,48702,,3,A00072
P000187,694 Williams Plain Way,Jacksonville,FL,98109,Residential,268686,1900,1,5,A00116
P000188,3163 Mark Viaduct Ln,Colorado Springs,CO,92107,Residential,1482290,1293,4,4,A00136
P000189,4255 Underwood Extension Blvd,New York,NY,10014,Residential,1478094,722,1,5,A00039
P000190,2994 Caldwell Haven Ln,Fort Worth,TX,64110,Commercial,416761,4007,,3,A00149
P000191,6111 Austin Park Ct,Baltimore,MD,77006,Residential,1340024,5706,4,2,A00062
P000192,1198 Clarence Ranch Ln,Indianapolis,IN,85008,Commercial,690453,42141,,2,A00045
P000193,2759 Susan Greens Rd,Indianapolis,IN,32208,Residential,1308022,1337,2,2,A00146
P000194,6758 Long Lodge St,Charlotte,NC,85204,Residential,1905924,3225,4,1,A00058
P000195,6250 Briana Mall Ave,Kansas City,MO,85202,Commercial,777169,42440,,8,A00131
P000196,3597 Bauer Radial Rd,ATLANTA,GA,27607,Commercial,330862,24690,,7,A00109
P000197,6618 Williams Lake Ter,Nashville,TN,68105,Residential,890096,1861,6,4,A00056
P000198,9586 Macias Mountain Rd,TUCSON,AZ,28208,Commercial,1150034,46835,,3,A00024
P000199,3988 Sabrina Glens Ln,Mesa,AZ,89108,Commercial,1658800,7491,,9,A00093
P000200,8276 Catherine Street Rd,Austin,TX,43202,Commercial,921707,10440,,10,A00110
P000201,197 Carlos Points Dr,Las Vegas,NV,80905,Commercial,301541,22669,,1,A00003
P000202,8833 Jimmy Rapids Ter,phoenix,AZ,90007,Commercial,1548936,,,3,A00030
P000203,7014 Reed Crest Way,San Antonio,TX,89110,Commercial,1724384,,,,A00065
P000204,598 French Point Pl,Omaha,NE,43209,Commercial,804203,,,,A00106
P000205,953 Krause Knoll Way,louisville,KY,85210,Residential,1752124,2756,5,5,A00095
P000206,469 VERONICA MALL ST,louisville,KY,60608,Commercial,431532,15580,,1,A00047
P000207,5456 SETH LAKE TER,Colorado Springs,CO,80207,Commercial,854670,18898,,10,A00030
P000208,3968 Susan Gardens Ave,Las Vegas,NV,97205,Residential,290029,3245,3,3,A00009
P000209,3293 Amanda Circles St,Milwaukee,WI,53203,Commercial,397359,25174,,5,A00123
P000210,6474 Stafford Cove Ter,austin,TX,10011,Residential,1683254,4742,2,2,A00026
P000211,8882 David Avenue Pl,Tucson,AZ,19103,Residential,153260,4890,3,5,A00123
P000212,2574 Brown Greens Rd,Mesa,AZ,95816,Commercial,1656356,24262,,3,A00027
P000213,594 Wilkerson Way Ave,Seattle,WA,87109,Residential,1719388,1901,1,2,A00127
P000214,4877 Diane Ridges Way,Nashville,TN,30307,Commercial,1788924,20045,,1,A00140
P000215,9427 Campbell Station Dr,Portland,OR,33132,Residential,974072,5081,5,3,A00010
P000216,1641 Christina Ramp Ct,Baltimore,MD,21206,Commercial,538632,5467,,5,A00118
P000217,8918 Cole Overpass Dr,Sacramento,CA,32202,Commercial,412437,48313,,2,A00098
P000218,7404 Bowman Alley Dr,Boston,MA,28201,Commercial,677484,31199,,6,A00006
P000219,3574 Michelle Views Blvd,Tucson,AZ,90002,Residential,1791725,1558,1,,A00099
P000220,5285 Wells Pike St,Seattle,WA,27608,Commercial,509301,33731,,6,A00001
P000221,9957 Green Ferry Ln,fresno,CA,78203,Residential,1676810,1266,2,2,A00108
P000222,3421 Hughes Passage Dr,Nashville,TN,21211,Residential,592145,3062,5,3,A00082
P000223,9530 Brown Vista Ln,Raleigh,NC,64101,Residential,191929,1327,1,2,A00153
P000224,3527 Neal Drive Pl,Charlotte,NC,28205,Commercial,856442,43730,,4,A00021
P000225,8370 Carter Trace Rd,Sacramento,CA,78207,Commercial,1532047,18128,,8,A00154
P000226,7403 Davidson Squares Ave,austin,TX,19114,Commercial,832241,48536,,8,A00141
P000227,1209 Keith Dam Pl,San Antonio,TX,53203,Residential,1561474,2671,,5,A00017
P000228,6103 Kim Centers Ln,Raleigh,NC,95817,Residential,1806600,5134,3,,A00130
P000229,8394 Odom Walk Rd,Boston,MA,19107,Residential,1489141,4670,3,4,A00080
P000230,2653 Ronald Islands Ln,Baltimore,MD,94108,Commercial,1022360,25725,,10,A00002
P000231,3599 Murphy Gateway Rd,miami,FL,80204,Residential,655543,4819,6,2,A00004
P000232,7984 White Glen Ter,Seattle,WA,90005,Commercial,419475,18972,,8,A00154
P000233,1070 Turner Inlet Way,Sacramento,CA,38112,Residential,1345646,4134,2,1,A00019
P000234,7151 Wright Port Rd,ALBUQUERQUE,NM,95814,Residential,1231994,2361,5,3,A00136
P000235,663 Holly Forge Ter,Portland,OR,85702,Commercial,1906804,21550,,1,A00107
P000236,7214 Erika Underpass Rd,Atlanta,GA,38108,Commercial,1485726,3263,,,A00034
P000237,607 Calderon Mission Ter,Fort Worth,TX,76109,Commercial,1097805,40887,,2,A00146
P000238,257 Hampton Falls Rd,San Antonio,TX,48206,Commercial,648313,31498,,10,A00155
P000239,3230 Sean Island Dr,JACKSONVILLE,FL,60607,Residential,1511934,1614,6,5,A00022
P000240,8346 Stacey Pines Pl,Memphis,TN,37202,Residential,1431288,1709,1,1,A00071
P000241,9445 Michael Mountain Ter,Dallas,TX,76110,Commercial,1256497,8399,,5,A00093
P000242,7488 Hunt Islands Blvd,Detroit,MI,10001,Residential,1049235,818,1,4,A00003
P000243,4869 Gregory Isle Dr,Long Beach,CA,85706,Residential,1614610,5542,5,3,A00111
P000244,6466 Davis Crossroad Rd,Raleigh,NC,64113,Commercial,1462093,11830,,8,A00064
P000245,9989 Brandi Locks Dr,Milwaukee,WI,78722,Commercial,1160817,43548,,1,A00018
P000246,9797 Richard Pine Ter,LOS ANGELES,CA,93702,Residential,1234437,4766,4,2,A00103
P000247,259 Robert Pike Blvd,Raleigh,NC,89103,Residential,497966,4627,6,2,A00056
P000248,9040 Darren Square Ter,Baltimore,MD,90007,Residential,529058,1874,6,5,A00079
P000249,9242 Zamora Pines Ln,Raleigh,NC,87104,Commercial,1616605,47681,,2,A00134
P000250,9481 Michael Passage Ln,Nashville,TN,64112,Residential,427095,3540,3,5,A00144
P000251,7385 Robert Extension Ave,FORT WORTH,TX,92106,Residential,356821,5557,5,1,A00095
P000252,1983 Jensen Lakes Way,Seattle,WA,94103,Commercial,1441302,31243,,8,A00006
P000253,9084 Maria Manor Way,Miami,FL,10012,Residential,840887,3332,3,,A00057
P000254,1717 Erin Walks Way,philadelphia,PA,85707,Commercial,1721581,20014,,3,A00127
P000255,6925 Jeffery Isle Rd,Charlotte,NC,27607,Commercial,1826207,4464,,7,A00040
P000256,9890 Mcgee Garden Ln,Miami,FL,64108,Commercial,637147,20908,,7,A00126
P000257,9822 Christine Points Ave,Dallas,TX,78201,Commercial,876780,9184,,2,A00073
P000258,2388 Edwards Spurs Blvd,Austin,TX,94107,Commercial,1221939,5904,,5,A00092
P000259,9922 Bryan Stream Ave,Virginia Beach,VA,75203,Residential,924000,680,1,,A00120
P000260,195 Valentine Club Way,Seattle,WA,78704,Commercial,885749,26105,,9,A00108
P000261,3778 Simpson Rest St,Raleigh,NC,93706,Commercial,1316545,,,6,A00007
P000262,3458 Amy Lodge Pl,Albuquerque,NM,10004,Commercial,1125614,35793,,,A00090
P000263,7302 Leonard Mews Ln,Charlotte,NC,85708,Commercial,1413613,24829,,6,A00044
P000264,8953 Charles Crossing Rd,Seattle,WA,87104,Residential,754575,2622,5,5,A00122
P000265,9971 Joe Point Way,JACKSONVILLE,FL,38105,Commercial,1493398,14381,,5,A00147
P000266,1987 Phillips Cliff St,Fort Worth,TX,46205,Commercial,700730,5315,,9,A00101
P000267,9176 Kimberly Ferry Ave,Omaha,NE,40201,Commercial,1138325,11114,,4,A00058
P000268,2021 Nicole Ville Dr,LONG BEACH,CA,48205,Commercial,1823027,26266,,8,A00055
P000269,8553 Garcia Drives Way,Boston,MA,33126,Commercial,436606,6582,,10,A00134
P000270,666 Peterson Pine Rd,Raleigh,NC,30305,Commercial,816867,7308,,10,A00026
P000271,4172 Natalie Stream Rd,San Francisco,CA,93701,Commercial,1279852,,,4,A00093
P000272,9004 Angela Keys Ave,Atlanta,GA,85204,Residential,664900,,5,4,A00122
P000273,6100 WOOD LAKE PL,Mesa,AZ,23450,Commercial,1956819,,,1,A00022
P000274,8696 Fisher Ferry Ave,Atlanta,GA,19104,Commercial,366059,32300,,5,A00134
P000275,5703 Erica Estate Blvd,BALTIMORE,MD,87102,Commercial,891079,22014,,3,A00133
P000276,9543 White Tunnel Pl,Colorado Springs,CO,21212,Commercial,1295179,6020,,3,A00081
P000277,5417 Huynh Gardens Ave,Boston,MA,19113,Commercial,1714310,9756,,7,A00003
P000278,7353 CODY BROOK WAY,Sacramento,CA,64110,Residential,633037,5381,5,4,A00150
P000279,7507 Jessica Shoal Ln,Fort Worth,TX,21211,Commercial,893178,16241,,10,A00151
P000280,4153 Michelle Ridges Way,Seattle,WA,46202,Commercial,868794,44293,,2,A00126
P000281,7898 Joseph Glen St,Philadelphia,PA,40208,Residential,944585,5767,,,A00009
P000282,7455 Jacqueline Path Way,Charlotte,NC,32205,Commercial,1772859,44037,,,A00003
P000283,9528 Keith Ridges Blvd,dallas,TX,80903,Residential,1901029,2420,3,5,A00130
P000284,5355 Kathleen Club Dr,Mesa,AZ,43207,Commercial,1371501,17965,,2,A00112
P000285,3630 Werner Wells Ter,Charlotte,NC,85008,Residential,1980670,3052,6,3,A00010
P000286,9459 Edwards Forge Pl,Long Beach,CA,38108,Commercial,1750334,,,9,A00138
P000287,366 Chapman Lane Ave,Denver,CO,90805,Commercial,1716772,20726,,5,A00127
P000288,7251 Jeanette Land Dr,VIRGINIA BEACH,VA,64106,Residential,1287696,2652,1,2,A00043
P000289,5020 Robin Lights Ln,Mesa,AZ,28207,Residential,1243948,2431,2,2,A00093
P000290,8392 Antonio Views St,Phoenix,AZ,80903,Residential,492163,3057,5,1,A00062
P000291,5736 Olsen Course Dr,Fresno,CA,75204,Residential,1457953,1829,4,1,A00148
P000292,6064 Thomas Plaza Rd,Philadelphia,PA,32209,Commercial,1496171,13810,,,A00086
